,open,high,low,close,volume
2023-06-16,33399.1484375,33772.76171875,33186.9296875,33706.078125,132000000
2023-06-19,33768.69140625,33772.890625,33231.55859375,33370.421875,82900000
2023-06-20,33269.5703125,33474.73828125,33089.01953125,33388.91015625,82400000
2023-06-21,33200.62890625,33657.87109375,33154.6796875,33575.140625,82000000
2023-06-22,33438.01171875,33641.4609375,33232.19140625,33264.87890625,94700000
2023-06-23,33458.3515625,33533.46875,32575.560546875,32781.5390625,103600000
2023-06-26,32647.080078125,32884.73046875,32392.720703125,32698.810546875,74100000
2023-06-27,32629.9609375,32689.099609375,32306.990234375,32538.330078125,79600000
2023-06-28,32807.83984375,33193.98828125,32642.869140625,33193.98828125,91100000
2023-06-29,33306.83984375,33527.98046875,33185.19921875,33234.140625,117900000
2023-06-30,33068.359375,33232.890625,32918.76953125,33189.0390625,111300000
2023-07-03,33517.6015625,33762.80859375,33510.55078125,33753.328125,95400000
2023-07-04,33512.26171875,33576.44921875,33338.78125,33422.51953125,99400000
2023-07-05,33165.05859375,33389.21875,33041.140625,33338.69921875,95100000
2023-07-06,33058.3984375,33079.44921875,32637.720703125,32773.01953125,100600000
2023-07-07,32450.640625,32730.25,32327.900390625,32388.419921875,105100000
2023-07-10,32393.4609375,32558.98046875,32065.630859375,32189.73046875,101200000
2023-07-11,32434.669921875,32468.69921875,32084.419921875,32203.5703125,87200000
2023-07-12,32280.05078125,32312.029296875,31791.7109375,31943.9296875,88400000
2023-07-13,32106.05078125,32484.400390625,31952.98046875,32419.330078125,77800000
2023-07-14,32587.900390625,32780.62890625,32225.369140625,32391.259765625,90300000
2023-07-18,32457.1796875,32714.58984375,32338.30078125,32493.890625,81100000
2023-07-19,32812.359375,32896.03125,32671.029296875,32896.03125,81900000
2023-07-20,32803.3515625,32861.01953125,32462.859375,32490.51953125,75600000
2023-07-21,32336.859375,32462.439453125,32080.94921875,32304.25,79400000
2023-07-24,32648.140625,32793.76953125,32554.4609375,32700.939453125,83500000
2023-07-25,32705.390625,32715.560546875,32509.939453125,32682.509765625,101000000
2023-07-26,32704.9609375,32724.25,32488.51953125,32668.33984375,85200000
2023-07-27,32523.689453125,32938.58984375,32503.689453125,32891.16015625,90900000
2023-07-28,32444.419921875,32846.96875,32037.55078125,32759.23046875,170500000
2023-07-31,33128.828125,33402.078125,33025.9296875,33172.21875,134300000
2023-08-01,33292.30859375,33488.76953125,33203.87890625,33476.578125,110800000
2023-08-02,33123.12109375,33158.578125,32628.2890625,32707.689453125,124200000
2023-08-03,32375.849609375,32467.060546875,32142.25,32159.279296875,120300000
2023-08-04,32019.060546875,32294.69921875,31934.349609375,32192.75,106600000
2023-08-07,31921.279296875,32306.869140625,31830.23046875,32254.560546875,94100000
2023-08-08,32430.609375,32539.880859375,32238.58984375,32377.2890625,91800000
2023-08-09,32346.3203125,32407.849609375,32175.640625,32204.330078125,104500000
2023-08-10,32015.9609375,32504.849609375,32015.9609375,32473.650390625,108000000
2023-08-14,32456.720703125,32613.990234375,32031.5390625,32059.91015625,95600000
2023-08-15,32372.529296875,32403.9296875,32217.51953125,32238.890625,75100000
2023-08-16,31965.580078125,31997.279296875,31766.8203125,31766.8203125,84800000
2023-08-17,31621.98046875,31704.080078125,31309.6796875,31626.0,87700000
2023-08-18,31321.259765625,31644.890625,31275.25,31450.759765625,74800000
2023-08-21,31552.849609375,31758.69921875,31409.859375,31565.640625,69500000
2023-08-22,31792.599609375,31906.099609375,31693.759765625,31856.7109375,70200000
2023-08-23,31717.91015625,32039.599609375,31717.91015625,32010.259765625,65100000
2023-08-24,32130.51953125,32297.91015625,32063.140625,32287.2109375,73400000
