date,open,high,low,close,volume
2025-09-23,55248.69921875,55662.0,55159.0,55509.75,171200
2025-09-24,55387.1015625,55511.1015625,55040.44921875,55121.5,172000
2025-09-25,55061.6484375,55276.6484375,54903.30078125,54976.19921875,158400
2025-09-26,54797.8984375,54897.0,54310.94921875,54389.3515625,127700
2025-09-29,54460.3984375,54686.05078125,54226.6015625,54461.0,218300
2025-09-30,54705.5,54793.05078125,54502.94921875,54635.8515625,206900
2025-10-01,54653.8984375,55406.75,54582.55078125,55347.94921875,173000
2025-10-03,55182.6015625,55616.44921875,55177.0,55589.25,156900
2025-10-06,55834.69921875,56164.19921875,55727.25,56104.8515625,162600
2025-10-07,56126.3984375,56502.44921875,56025.05078125,56239.3515625,153700
2025-10-08,56098.5,56303.6015625,55821.0,56018.25,133600
2025-10-09,55979.0,56286.25,55843.8984375,56192.05078125,118000
2025-10-10,56168.6015625,56760.25,56152.44921875,56609.75,163000
2025-10-13,56337.05078125,56770.8984375,56327.3984375,56625.0,123500
2025-10-14,56598.6484375,56721.30078125,56230.1484375,56496.44921875,129800
2025-10-15,56528.94921875,56922.69921875,56491.8515625,56799.8984375,123700
2025-10-16,57139.94921875,57525.80078125,56994.69921875,57422.55078125,148600
2025-10-17,57362.8984375,57830.19921875,57238.6484375,57713.3515625,147200
2025-10-20,57872.8515625,58261.55078125,57872.8515625,58033.19921875,341700
2025-10-21,58063.3984375,58155.55078125,57887.19921875,58007.19921875,39000
2025-10-23,58314.55078125,58577.5,57951.44921875,58078.05078125,291600
2025-10-24,58172.75,58232.8984375,57482.05078125,57699.6015625,132100
2025-10-27,57796.44921875,58224.55078125,57652.75,58114.25,153000
2025-10-28,58006.55078125,58313.80078125,57770.3515625,58214.1015625,256100
2025-10-29,58316.25,58469.8984375,58087.05078125,58385.25,151800
2025-10-30,58152.05078125,58331.19921875,57999.19921875,58031.1015625,223000
2025-10-31,57942.44921875,58254.94921875,57656.94921875,57776.3515625,307900
2025-11-03,57726.8515625,58247.55078125,57718.3984375,58101.44921875,27800
2025-11-04,57966.6484375,58119.6484375,57732.94921875,57827.05078125,168600
2025-11-06,57714.80078125,57945.05078125,57521.0,57554.25,170400
2025-11-07,57391.3984375,58001.3515625,57157.8515625,57876.80078125,142400
2025-11-10,57846.19921875,58097.19921875,57846.19921875,57937.55078125,123400
2025-11-11,57962.30078125,58187.3515625,57594.25,58138.1484375,119600
2025-11-12,58505.3515625,58507.69921875,58171.8515625,58274.6484375,149300
2025-11-13,58158.75,58615.94921875,58127.1015625,58381.94921875,121200
2025-11-14,58050.0,58590.1484375,58050.0,58517.55078125,114800
2025-11-17,58696.30078125,59001.55078125,58605.30078125,58962.69921875,157500
2025-11-18,58990.5,59103.6484375,58798.8984375,58899.25,145500
2025-11-19,58908.1484375,59264.25,58688.55078125,59216.05078125,149800
2025-11-20,59308.19921875,59440.1015625,59125.25,59347.69921875,120000
2025-11-21,59116.69921875,59232.1484375,58823.6484375,58867.69921875,121400
2025-11-24,58996.8984375,59309.8984375,58649.5,58835.3515625,190400
2025-11-25,58925.6484375,59166.1484375,58746.19921875,58820.30078125,137400
2025-11-26,58783.05078125,59554.94921875,58783.05078125,59528.05078125,140200
2025-11-27,59605.30078125,59866.6015625,59523.0,59737.30078125,137800
2025-11-28,59758.69921875,59897.5,59598.94921875,59752.69921875,100000
2025-12-01,60102.05078125,60114.30078125,59527.6015625,59681.3515625,122300
2025-12-02,59354.19921875,59656.55078125,59251.94921875,59273.80078125,207100
2025-12-03,59158.69921875,59414.8984375,58925.69921875,59348.25,166400
2025-12-04,59287.1015625,59548.69921875,59062.1484375,59288.69921875,109600
2025-12-05,59133.19921875,59806.6015625,59106.55078125,59777.19921875,119500
2025-12-08,59672.05078125,59713.1484375,59030.6015625,59238.55078125,131200
2025-12-09,58918.8515625,59358.25,58878.44921875,59222.3515625,137800
2025-12-10,59281.55078125,59440.8984375,58853.8984375,58960.3984375,105200
2025-12-11,58966.19921875,59423.3515625,58799.8984375,59209.8515625,96900
2025-12-12,59401.5,59545.69921875,59224.8515625,59389.94921875,107700
2025-12-15,59053.69921875,59533.0,59052.30078125,59461.80078125,125200
2025-12-16,59288.75,59335.25,58966.3515625,59034.6015625,123300
2025-12-17,59072.80078125,59127.19921875,58801.3984375,58926.75,132700
2025-12-18,58712.69921875,59211.0,58712.69921875,58912.8515625,97400
2025-12-19,59047.3984375,59140.55078125,58897.5,59069.19921875,179100
2025-12-22,59224.75,59371.19921875,59155.5,59304.0,114800
2025-12-23,59334.3515625,59402.3515625,59216.75,59299.55078125,91800
2025-12-24,59322.94921875,59478.1484375,59118.25,59183.6015625,82500
2025-12-26,59092.8515625,59180.6484375,58947.05078125,59011.3515625,72900
2025-12-29,59007.05078125,59140.3984375,58809.55078125,58932.3515625,106900
2025-12-30,58885.94921875,59272.69921875,58737.6015625,59171.25,295700
2025-12-31,59194.6015625,59766.19921875,59187.1015625,59581.8515625,122600
2026-01-01,59674.80078125,59743.19921875,59569.6484375,59711.55078125,71800
2026-01-02,59757.3984375,60203.75,59738.25,60150.94921875,250400
2026-01-05,60360.3984375,60437.3515625,59859.80078125,60044.19921875,318500
2026-01-06,59957.80078125,60305.0,59844.80078125,60118.3984375,295400
2026-01-07,60039.69921875,60065.3984375,59760.6484375,59990.8515625,376300
2026-01-08,59893.1484375,60112.8515625,59564.80078125,59686.5,312900
2026-01-09,59558.1484375,59739.6484375,59154.19921875,59251.55078125,272500
2026-01-12,59217.25,59541.1015625,58864.19921875,59450.5,262400
2026-01-13,59767.55078125,59767.55078125,59312.05078125,59578.80078125,224200
2026-01-14,59330.3515625,59796.6484375,59324.19921875,59580.1484375,341500
2026-01-16,59590.3515625,60235.1484375,59510.5,60095.1484375,478100
