contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,symbol
SPY260414P00648000,2026-04-13 19:48:22+00:00,648.0,0.02,0.01,0.02,-0.09,-81.818184,420.0,307.0,0.41797457031249996,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00649000,2026-04-13 19:57:47+00:00,649.0,0.02,0.01,0.02,-0.09,-81.818184,420.0,1191.0,0.4062559375,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00650000,2026-04-13 20:05:21+00:00,650.0,0.01,0.01,0.02,-0.12,-92.30769,5695.0,2177.0,0.398443515625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00651000,2026-04-13 20:06:01+00:00,651.0,0.02,0.02,0.03,-0.120000005,-85.71429,700.0,500.0,0.40430283203125,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00652000,2026-04-13 20:13:12+00:00,652.0,0.01,0.02,0.03,-0.17999999,-94.73685,1966.0,553.0,0.39453730468750003,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00653000,2026-04-13 20:14:46+00:00,653.0,0.02,0.02,0.03,-0.18,-90.0,2016.0,569.0,0.38281867187499996,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00654000,2026-04-13 20:14:42+00:00,654.0,0.02,0.02,0.03,-0.18,-90.0,1427.0,989.0,0.37305314453125,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00655000,2026-04-13 20:14:34+00:00,655.0,0.02,0.02,0.03,-0.19,-90.4762,3122.0,2339.0,0.3632876171875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00656000,2026-04-13 20:13:11+00:00,656.0,0.02,0.02,0.03,-0.21000001,-91.304344,1988.0,1043.0,0.35156898437499995,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00657000,2026-04-13 20:02:08+00:00,657.0,0.03,0.02,0.03,-0.22999999,-88.46153,2056.0,2860.0,0.3398503515625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00658000,2026-04-13 20:06:31+00:00,658.0,0.02,0.02,0.03,-0.29,-93.548386,2421.0,688.0,0.33008482421874996,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00659000,2026-04-13 20:10:21+00:00,659.0,0.03,0.02,0.03,-0.3,-90.909096,1618.0,649.0,0.32031929687499994,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00660000,2026-04-13 20:13:58+00:00,660.0,0.03,0.02,0.03,-0.33,-91.666664,9367.0,2786.0,0.3086006640625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00661000,2026-04-13 20:12:30+00:00,661.0,0.03,0.03,0.04,-0.38,-92.68293,7552.0,570.0,0.31055376953124997,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00662000,2026-04-13 20:13:12+00:00,662.0,0.03,0.03,0.04,-0.46,-93.87755,9172.0,732.0,0.29883513671874995,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00663000,2026-04-13 20:14:46+00:00,663.0,0.04,0.03,0.04,-0.54999995,-93.22034,5824.0,1217.0,0.28711650390624993,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00664000,2026-04-13 20:14:41+00:00,664.0,0.02,0.03,0.04,-0.59000003,-96.72131,16620.0,1212.0,0.27735097656249996,False,REGULAR,USD,2026-04-14,SPY
